"동물번호","사진종류","사진번호","사진URL"
"1441","THUMB","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1441&fileTy=ADOPTTHUMB&fileNo=2&thumbTy=L"
"1441","IMG","9","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1441&fileTy=ADOPTIMG&fileNo=9&thumbTy=L"
"1441","IMG","10","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1441&fileTy=ADOPTIMG&fileNo=10&thumbTy=L"
"1441","IMG","11","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1441&fileTy=ADOPTIMG&fileNo=11&thumbTy=L"
"1441","IMG","12","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1441&fileTy=ADOPTIMG&fileNo=12&thumbTy=L"
"1441","IMG","13","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1441&fileTy=ADOPTIMG&fileNo=13&thumbTy=L"
"1441","IMG","14","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1441&fileTy=ADOPTIMG&fileNo=14&thumbTy=L"
"1441","IMG","15","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1441&fileTy=ADOPTIMG&fileNo=15&thumbTy=L"
"1441","IMG","16","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1441&fileTy=ADOPTIMG&fileNo=16&thumbTy=L"
"1343","THUMB","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1343&fileTy=ADOPTTHUMB&fileNo=2&thumbTy=L"
"1343","IMG","9","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1343&fileTy=ADOPTIMG&fileNo=9&thumbTy=L"
"1343","IMG","10","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1343&fileTy=ADOPTIMG&fileNo=10&thumbTy=L"
"1343","IMG","11","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1343&fileTy=ADOPTIMG&fileNo=11&thumbTy=L"
"1343","IMG","12","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1343&fileTy=ADOPTIMG&fileNo=12&thumbTy=L"
"1343","IMG","13","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1343&fileTy=ADOPTIMG&fileNo=13&thumbTy=L"
"1343","IMG","14","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1343&fileTy=ADOPTIMG&fileNo=14&thumbTy=L"
"1343","IMG","15","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1343&fileTy=ADOPTIMG&fileNo=15&thumbTy=L"
"1343","IMG","16","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1343&fileTy=ADOPTIMG&fileNo=16&thumbTy=L"
"1523","THUMB","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1523&fileTy=ADOPTTHUMB&fileNo=2&thumbTy=L"
"1523","IMG","9","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1523&fileTy=ADOPTIMG&fileNo=9&thumbTy=L"
"1523","IMG","10","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1523&fileTy=ADOPTIMG&fileNo=10&thumbTy=L"
"1523","IMG","11","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1523&fileTy=ADOPTIMG&fileNo=11&thumbTy=L"
"1523","IMG","12","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1523&fileTy=ADOPTIMG&fileNo=12&thumbTy=L"
"1523","IMG","13","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1523&fileTy=ADOPTIMG&fileNo=13&thumbTy=L"
"1523","IMG","14","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1523&fileTy=ADOPTIMG&fileNo=14&thumbTy=L"
"1523","IMG","15","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1523&fileTy=ADOPTIMG&fileNo=15&thumbTy=L"
"1523","IMG","16","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1523&fileTy=ADOPTIMG&fileNo=16&thumbTy=L"
"1541","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1541&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1541","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1541&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1541","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1541&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1541","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1541&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1541","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1541&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1541","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1541&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1541","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1541&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1541","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1541&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1541","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1541&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"1501","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1501&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1501","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1501&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1501","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1501&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1501","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1501&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1501","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1501&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1501","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1501&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1501","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1501&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1501","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1501&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1501","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1501&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"1561","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1561&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1561","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1561&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1561","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1561&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1561","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1561&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1561","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1561&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1561","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1561&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1561","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1561&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1561","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1561&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1561","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1561&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"1342","THUMB","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1342&fileTy=ADOPTTHUMB&fileNo=2&thumbTy=L"
"1342","IMG","9","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1342&fileTy=ADOPTIMG&fileNo=9&thumbTy=L"
"1342","IMG","10","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1342&fileTy=ADOPTIMG&fileNo=10&thumbTy=L"
"1342","IMG","11","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1342&fileTy=ADOPTIMG&fileNo=11&thumbTy=L"
"1342","IMG","12","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1342&fileTy=ADOPTIMG&fileNo=12&thumbTy=L"
"1342","IMG","13","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1342&fileTy=ADOPTIMG&fileNo=13&thumbTy=L"
"1342","IMG","14","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1342&fileTy=ADOPTIMG&fileNo=14&thumbTy=L"
"1342","IMG","15","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1342&fileTy=ADOPTIMG&fileNo=15&thumbTy=L"
"1342","IMG","16","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1342&fileTy=ADOPTIMG&fileNo=16&thumbTy=L"
"1481","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1481&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1481","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1481&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1481","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1481&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1481","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1481&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1481","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1481&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1481","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1481&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1481","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1481&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1481","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1481&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1481","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1481&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"1301","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1301","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1301","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1301","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1301","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1301","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1301","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1301","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1301","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"1381","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1381&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1381","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1381&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1381","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1381&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1381","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1381&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1381","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1381&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1381","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1381&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1381","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1381&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1381","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1381&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1381","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1381&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
