"동물번호","사진종류","사진번호","사진URL"
"1581","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1581&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1581","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1581&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1581","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1581&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1581","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1581&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1581","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1581&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1581","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1581&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1581","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1581&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1581","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1581&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1581","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1581&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"1421","THUMB","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1421&fileTy=ADOPTTHUMB&fileNo=2&thumbTy=L"
"1421","IMG","9","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1421&fileTy=ADOPTIMG&fileNo=9&thumbTy=L"
"1421","IMG","10","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1421&fileTy=ADOPTIMG&fileNo=10&thumbTy=L"
"1421","IMG","11","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1421&fileTy=ADOPTIMG&fileNo=11&thumbTy=L"
"1421","IMG","12","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1421&fileTy=ADOPTIMG&fileNo=12&thumbTy=L"
"1421","IMG","13","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1421&fileTy=ADOPTIMG&fileNo=13&thumbTy=L"
"1421","IMG","14","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1421&fileTy=ADOPTIMG&fileNo=14&thumbTy=L"
"1421","IMG","15","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1421&fileTy=ADOPTIMG&fileNo=15&thumbTy=L"
"1421","IMG","16","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1421&fileTy=ADOPTIMG&fileNo=16&thumbTy=L"
"1461","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1461&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1461","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1461&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1461","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1461&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1461","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1461&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1461","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1461&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1461","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1461&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1461","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1461&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1461","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1461&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1461","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1461&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"1142","THUMB","11","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1142&fileTy=ADOPTTHUMB&fileNo=11&thumbTy=L"
"1142","IMG","23","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1142&fileTy=ADOPTIMG&fileNo=23&thumbTy=L"
"1142","IMG","24","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1142&fileTy=ADOPTIMG&fileNo=24&thumbTy=L"
"1142","IMG","25","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1142&fileTy=ADOPTIMG&fileNo=25&thumbTy=L"
"1142","IMG","26","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1142&fileTy=ADOPTIMG&fileNo=26&thumbTy=L"
"1142","IMG","27","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1142&fileTy=ADOPTIMG&fileNo=27&thumbTy=L"
"1142","IMG","28","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1142&fileTy=ADOPTIMG&fileNo=28&thumbTy=L"
"1142","IMG","29","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1142&fileTy=ADOPTIMG&fileNo=29&thumbTy=L"
"1142","IMG","30","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1142&fileTy=ADOPTIMG&fileNo=30&thumbTy=L"
"468","THUMB","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=468&fileTy=ADOPTTHUMB&fileNo=4&thumbTy=L"
"468","IMG","28","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=468&fileTy=ADOPTIMG&fileNo=28&thumbTy=L"
"468","IMG","29","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=468&fileTy=ADOPTIMG&fileNo=29&thumbTy=L"
"468","IMG","35","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=468&fileTy=ADOPTIMG&fileNo=35&thumbTy=L"
"468","IMG","36","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=468&fileTy=ADOPTIMG&fileNo=36&thumbTy=L"
"468","IMG","37","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=468&fileTy=ADOPTIMG&fileNo=37&thumbTy=L"
"468","IMG","38","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=468&fileTy=ADOPTIMG&fileNo=38&thumbTy=L"
"468","IMG","39","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=468&fileTy=ADOPTIMG&fileNo=39&thumbTy=L"
"468","IMG","40","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=468&fileTy=ADOPTIMG&fileNo=40&thumbTy=L"
"1361","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1361","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1361","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1361","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1361","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1361","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1361","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1361","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1361","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"1263","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1263","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1263","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1263","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1263","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1263","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1263","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1263","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1263","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"1261","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1261","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1261","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1261","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1261","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1261","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1261","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1261","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1261","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"295","THUMB","14","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=295&fileTy=ADOPTTHUMB&fileNo=14&thumbTy=L"
"295","IMG","50","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=295&fileTy=ADOPTIMG&fileNo=50&thumbTy=L"
"295","IMG","51","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=295&fileTy=ADOPTIMG&fileNo=51&thumbTy=L"
"295","IMG","52","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=295&fileTy=ADOPTIMG&fileNo=52&thumbTy=L"
"295","IMG","53","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=295&fileTy=ADOPTIMG&fileNo=53&thumbTy=L"
"1121","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1121","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1121","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1121","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1121","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1121","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1121","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1121","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1121","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"257","THUMB","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=257&fileTy=ADOPTTHUMB&fileNo=4&thumbTy=L"
"257","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=257&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"257","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=257&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"257","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=257&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"257","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=257&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"257","IMG","9","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=257&fileTy=ADOPTIMG&fileNo=9&thumbTy=L"